Day,PP.mm
36.9448273691499,9.24369747899164
50.6540773612816,57.1428571428571
67.8009630818619,44.5378151260504
82.5838290372329,54.6218487394958
96.7163314764108,205.882352941176
112.092783180688,360.924369747899
128.744153841312,227.310924369748
143.176029962547,151.680672268908
157.34466370818,311.764705882353
174.269599974821,244.957983193277
189.140213388726,276.470588235294
204.594089321122,150.420168067227
220.755106536997,197.058823529412
234.268215151229,197.058823529412
250.898939351021,358.403361344538
265.75922953451,387.394957983193
281.269883234192,275.210084033613
296.362446102036,360.924369747899
312.244736096686,39.4957983193277
325.819784093413,54.6218487394958
341.794983161804,55.8823529411765
436.293834387687,33.1932773109244
357.543071161049,1.68067226890753
374.746734648916,2.94117647058829
391.945236521575,2.94117647058829
405.453183520599,1.68067226890753
418.971453750039,2.94117647058829
451.107670034306,50.8403361344538
466.88156610959,2.94117647058829
482.165108740125,135.294117647059
496.834419160923,117.647058823529
510.621093381173,184.453781512605
528.898372832279,147.899159663866
543.325087338306,371.008403361345
557.189185786674,156.72268907563
574.026374594782,68.4873949579832
590.177068580241,112.605042016807
605.336732445787,214.705882352941
621.157083057942,178.151260504202
635.960595474145,493.27731092437
653.262329650962,218.487394957983
666.279923205237,97.4789915966386
683.148081704592,16.8067226890756
699.066503005697,4.20168067226894
715.23268183678,52.1008403361344
731.104648601013,28.1512605042017
