Day,Rust1,Rust2,Rust3
896.153846153846,5.07877664504171,2.18612004579404,3.3925748241836
899.004524886878,5.56397535844735,1.46758981627869,2.91282778171511
903.755656108597,5.5694270293845,2.1959330534809,2.4374420759963
909.932126696833,5.81747805702449,3.4078395028076,2.68494793654256
918.009049773756,5.82674589761763,3.89958022133783,3.41710734340074
927.511312217195,7.7653600828654,6.07806792781987,3.42801068527503
934.162895927602,10.4235948318159,7.53202856675571,2.95317014664995
942.714932126697,14.0478656708281,8.26527830780134,4.16889276563265
956.018099547511,17.9185520361991,9.48481709644005,6.8342146868015
963.144796380091,20.818295807665,8.28817532573734,9.25257591451779
969.321266968326,25.1627323774737,9.74213596467317,11.428882952625
977.398190045249,30.2322411819223,12.4009158807175,16.0153737120427
984.524886877828,33.8548765196533,16.9874066401352,20.3603554489451
990.701357466063,35.5487106798234,17.9583492340402,22.0541896091152
1006.38009049774,30.0245325192171,15.5661560268222,22.0721801232078
1013.03167420814,25.6948154609388,14.6104781115412,21.1165022079267
1021.10859728507,26.1860110123753,15.3431826854931,23.5354086027367
1026.33484162896,24.5052608624543,18.9625470206618,30.2883933925748
1040.58823529412,31.9914953933381,27.1722182849043,39.4613749114103
1047.7149321267,46.6984680804667,39.4695524178161,56.5779861527558
1053.41628959276,62.6086245434226,52.24717876029,66.9465191081066
1061.96832579186,68.4015700812299,62.8594014065311,78.521506841847
1069.09502262443,73.2290246960694,73.9519162623344,92.2651692743826
1076.22171945701,85.0444311181377,96.8516600338004,92.9962383470534
